"ID","Species","ExperimentNo","Scenario","Treatment","Exposure.1","Exposure.2","endpoint.date","endpoint.code","Bd.endpoint.status","Bd.endpoint.CTmean","Bd.endpoint.Qmean","Rv.MCPendpoint.status","Rv.MCPendpoint.CTmean","Rv.MCPendpoint.Qmean","Rv.EBF3Nendpoint.status","Rv.EBF3Nendpoint.CTmean","Rv.EBF3Nendpoint.Qmean","EMA.YN","EMA.date","EMA.GE.EMA","EMA.GE.WS","Bd.endpoint.GE","viable.GE","dead.GE","Rv.endpoint.load"
"B1.14","Bb","1","Coinfection","Bd-Rv","bd","rv","19/05/2018","MORT",1,42.27167511,0.024784993,0,0,0,0,NA,NA,NA,NA,NA,NA,0.24784993,NA,NA,NA
"B1.15","Bb","1","Coinfection","Bd-Rv","bd","rv","06/06/2018","EU",1,33.72922516,4.362797737,0,0,0,0,NA,NA,NA,NA,NA,NA,43.62797737,NA,NA,NA
"B1.16","Bb","1","Coinfection","Bd-Rv","bd","rv","06/06/2018","EU",1,33.58680725,4.758400917,0,0,0,0,NA,NA,NA,NA,NA,NA,47.58400917,NA,NA,NA
"B1.17","Bb","1","Coinfection","Bd-Rv","bd","rv","06/06/2018","EU",1,32.3671875,9.941318512,0,0,0,0,NA,NA,NA,NA,NA,NA,99.41318512,NA,NA,NA
"B1.18","Bb","1","Coinfection","Bd-Rv","bd","rv","06/06/2018","EU",1,31.07702255,21.80754089,0,0,0,0,NA,NA,NA,NA,NA,NA,218.0754089,NA,NA,NA
"B1.19","Bb","1","Coinfection","Bd-Rv","bd","rv","06/06/2018","EU",1,32.86929321,7.331185818,0,0,0,0,NA,NA,NA,NA,NA,NA,73.31185818,NA,NA,NA
"B1.20","Bb","1","Coinfection","Bd-Rv","bd","rv","06/06/2018","EU",1,32.5463829,8.941570282,0,0,0,0,NA,NA,NA,NA,NA,NA,89.41570282,NA,NA,NA
"C1.1","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.2","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.3","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.4","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.5","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.6","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.7","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.8","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.9","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.10","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.11","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.12","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.13","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.14","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.15","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.16","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.17","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.18","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.19","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1.20","Bb","1","Single","Rv ","bdsham","rv","06/06/2018","EU",0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1.1","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,30.22931862,8.237923622,0,NA,NA,0,NA,NA,1,"",0.003359616,0.03453951,82.37923622,0.003359616,0.031179894,NA
"D1.2","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,29.38041687,13.00338936,0,NA,NA,0,NA,NA,1,"",0.024831735,0,130.0338936,0.024831735,-0.024831735,NA
"D1.3","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,37.6084404,0.157442197,0,NA,NA,0,NA,NA,1,"",0,0.182456464,1.57442197,0,0.182456464,NA
"D1.4","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,29.84333038,10.13477421,0,NA,NA,0,NA,NA,1,"",0.00800506,0.009725941,101.3477421,0.00800506,0.001720881,NA
"D1.5","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,30.60538483,6.699124336,0,NA,NA,0,NA,NA,1,"",0,0.021134932,66.99124336,0,0.021134932,NA
"D1.6","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,29.76801682,10.54061127,0,NA,NA,0,NA,NA,1,"",0.318188369,0.222472489,105.4061127,0.318188369,-0.09571588,NA
