ID,Species,ExperimentNo,Scenario,Treatment,Exposure.1,Exposure.2,endpoint.date,endpoint.code,Bd.endpoint.status,Bd.endpoint.CTmean,Bd.endpoint.Qmean,Rv.MCPendpoint.status,Rv.MCPendpoint.CTmean,Rv.MCPendpoint.Qmean,Rv.EBF3Nendpoint.status,Rv.EBF3Nendpoint.CTmean,Rv.EBF3Nendpoint.Qmean,EMA.YN,EMA.date,EMA.GE.EMA,EMA.GE.WS
B2.11,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,33.84779358,2.249049425,Positive ,32.41133881,14020.06738,Positive ,30.44924355,2155.673828,0,NA,NA,NA
B2.12,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,32.06240463,6.674394608,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
B2.13,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,39.50881195,0.130261317,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
B2.14,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,30.4270134,18.04304886,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
B2.15,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,31.64418602,8.617416382,Positive ,49.65985489,1.448047638,Positive ,29.16986084,4684.683594,0,NA,NA,NA
B2.16,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,36.31748199,0.912231863,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
B2.17,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,33.27999115,4.07447052,Negative ,0,0,NA,NA,NA,1,20/02/2019,0.022550307,0.060887881
B2.18,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,47.66790009,0.000863856,Negative ,0,0,NA,NA,NA,1,20/02/2019,0,2.83982E-05
B2.19,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,35.65625,0.943425059,Negative ,0,0,NA,NA,NA,1,20/02/2019,0,0
B2.20,Bb,2,Coinfection,Bd-Rv,bd,rv,04/07/2018,EU,Positive,36.94071198,0.428657353,Negative ,0,0,NA,NA,NA,1,20/02/2019,1.81951E-05,0
C2.1,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,,
C2.2,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,Negative ,0,0,Positive ,42.33534622,6.300626755,NA,NA,NA,NA,,,
C2.3,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,,
C2.4,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.5,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.6,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.7,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.8,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.9,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.10,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.11,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
